gen,TP,MO,SR,TP_o,MO_o,SR_o
15,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
15,5.6882,64,9.1873,0.665907888888889,0.02434992964203332,0.0
15,6.2389,64,9.8224,0.6937021587301587,0.02463737049825372,0.0
15,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
15,6.8599,64,4.6896,0.5495753015873016,0.025648103092550868,0.0
15,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
16,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
16,5.7339959144592285,4,1.994543433189392,0.25085211116170125,0.018914484961255543,0.6666666666666667
16,6.2389,16,1.2812,0.3374661587301587,0.026202519002505028,0.33333333333333326
16,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
16,5.726,16,1.6941,0.34171188888888887,0.023115846433227217,0.33333333333333337
16,5.7308,16,8.2784,0.5393170793650793,0.02020605768675014,0.33333333333333337
16,6.6051,16,9.6323,0.5938118571428571,0.021061819567595768,0.33333333333333337
16,6.6051,16,9.6323,0.5938118571428571,0.021061819567595768,0.33333333333333337
16,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
16,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
16,6.5654,64,9.6269,0.6930196984126984,0.024809733889173253,0.0
16,5.7016,64,8.0895,0.6331865873015872,0.02442281941429812,0.0
16,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
16,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
16,6.7412,64,9.1924,0.6827751746031745,0.02492541139606853,0.0
16,5.6882,64,9.1873,0.665907888888889,0.02434992964203332,0.0
16,6.2389,64,9.8224,0.6937021587301587,0.02463737049825372,0.0
16,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
16,6.8565,64,4.6896,0.5495213333333333,0.025645915522819623,0.0
16,6.2165,64,2.3651,0.46962760317460317,0.025983540672728924,0.0
17,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
17,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
17,5.687763214111328,4,1.9487013816833496,0.2487429972300454,0.01866062830789803,0.6666666666666667
17,5.7254,16,1.6888,0.34154336507936506,0.023122480094051424,0.33333333333333326
17,5.7237,16,1.2452,0.3282083809523809,0.024082974547141173,0.33333333333333337
